a.1.1.1;Truncated hemoglobin
d.100.1.1;Ribosomal protein L9 N-domain
d.100.1.2;N-terminal domain of RNase HI
d.100.2.1;MbtH-like
d.255.1.1;Tombusvirus P19 core protein, VP19
d.101.1.1;Ribonuclease PH domain 2-like
d.102.1.1;Regulatory factor Nef
d.103.1.1;CytB endotoxin-like
d.104.1.1;Class II aminoacyl-tRNA synthetase (aaRS)-like, catalytic domain
d.104.1.2;Biotin holoenzyme synthetase
d.104.1.3;LplA-like
d.104.1.4;PH0223-like
d.105.1.1;Clathrin adaptor appendage, alpha and beta chain-specific domain
d.105.1.2;Coatomer appendage domain
d.106.1.1;Sterol carrier protein, SCP
d.106.1.2;Micothiol-dependent maleylpyruvate isomerase C-terminal domain-like
d.106.1.3;Alkylsulfatase C-terminal domain-like
d.106.1.4;EF1021 C-terminal domain-like
d.256.1.1;Ta1353-like
d.107.1.1;Ran-binding protein mog1p
d.107.1.2;PsbP-like
d.107.1.3;PA0094-like
d.107.1.4;DIP2269-like
d.369.1.1;SMI1/KNR4-like
d.108.1.1;N-acetyl transferase, NAT
d.108.1.2;N-myristoyl transferase, NMT
d.108.1.3;Autoinducer synthetase
d.108.1.4;FemXAB nonribosomal peptidyltransferases
d.108.1.5;Hypothetical protein cg14615-pa
d.108.1.6;LFTR-like
d.108.1.7;Ornithine decarboxylase antizyme-like
d.108.1.8;AstA-like
d.108.1.9;Aq 1966-like
d.108.1.10;EF1021-like
d.109.1.1;Gelsolin-like
d.109.1.2;Cofilin-like
d.109.2.1;C-terminal, gelsolin-like domain of Sec23/24
d.109.3.1;FLJ32549 C-terminal domain-like
d.322.1.1;Janus/Ocnus
d.322.1.2;PPK middle domain-like
d.110.1.1;Profilin (actin-binding protein)
d.110.2.1;GAF domain
d.110.2.2;IclR ligand-binding domain-like
d.110.2.3;HrcA C-terminal domain-like
d.110.2.4;Phytochrome-specific domain
d.110.3.1;PYP-like
d.110.3.2;Heme-binding PAS domain
d.110.3.6;Flavin-binding PAS domain
d.110.3.5;N-terminal PAS domain of Pas kinase
d.110.3.7;Hypoxia-inducible factor Hif2a, C-terminal domain
d.110.3.8;PAS domain of steroid receptor coactivator 1A, NCo-A1
d.110.3.9;BphP N-terminal domain-like
d.110.5.1;Pheromone-binding domain of LuxR-like quorum-sensing transcription factors
d.110.6.1;Sensory domain of two-component sensor kinase
d.110.6.2;YkuI C-terminal domain-like
d.110.6.3;LuxQ-periplasmic domain-like
d.110.4.1;Synatpobrevin N-terminal domain
d.110.4.3;Sedlin (SEDL)
d.110.4.2;Clathrin coat assembly domain
d.110.4.4;SRP alpha N-terminal domain-like
d.110.7.1;Roadblock/LC7 domain
d.110.8.1;YagB/YeeU/YfjZ-like
d.110.9.1;GlcG-like
d.110.10.1;YNR034W-A-like
d.278.1.1;H-NOX domain
d.278.1.2;TRAPP components
d.278.1.3;MJ1460-like
d.323.1.1;Lambda phage gpU-like
d.323.1.2;STM4215-like
d.111.1.1;PR-1-like
d.112.1.1;IIA domain of mannitol-specific and ntr phosphotransferase EII
d.112.1.2;Anion transport protein, cytoplasmic domain
d.113.1.1;MutT-like
d.113.1.3;MutY C-terminal domain-like
d.113.1.4;NADH pyrophosphatase
d.113.1.2;IPP isomerase-like
d.113.1.5;GDP-mannose mannosyl hydrolase NudD
d.113.1.6;BT0354 N-terminal domain-like
d.113.1.7;mRNA decapping enzyme-like
d.114.1.1;5'-nucleotidase (syn. UDP-sugar hydrolase), C-terminal domain
d.115.1.1;YrdC-like
d.115.1.2;3,4-dihydroxy-2-butanone 4-phosphate synthase, DHBP synthase, RibB
d.226.1.1;GIY-YIG endonuclease
d.116.1.1;YbaK/ProRS associated domain
d.117.1.1;Thymidylate synthase/dCMP hydroxymethylase
d.207.1.1;Thymidylate synthase-complementing protein Thy1
d.118.1.1;N-acetylmuramoyl-L-alanine amidase-like
d.120.1.1;Cytochrome b5
d.120.1.2;Steroid-binding domain
d.370.1.1;BTG domain-like
d.324.1.1;DUSP, domain in ubiquitin-specific proteases
d.121.1.1;Vaccinia DNA topoisomerase I, 9 kDa N-terminal fragment
d.122.1.1;Heat shock protein 90, HSP90, N-terminal domain
d.122.1.2;DNA gyrase/MutL, N-terminal domain
d.122.1.3;Histidine kinase
d.122.1.4;alpha-ketoacid dehydrogenase kinase, C-terminal domain
d.371.1.1;YehR-like
d.123.1.1;Sporulation response regulatory protein Spo0B
d.124.1.1;Ribonuclease Rh-like
d.192.1.1;YlxR-like
d.279.1.1;YggX-like
d.325.1.1;Ribosomal protein L28
d.325.1.2;Ribosomal protein L31p
d.372.1.1;YqaI-like
d.125.1.1;Ornithine decarboxylase C-terminal domain
d.126.1.1;Ribosome anti-association factor eIF6 (aIF6)
d.126.1.2;Amidinotransferase
d.126.1.3;Dimethylarginine dimethylaminohydrolase DDAH
d.126.1.4;Arginine deiminase
d.126.1.5;Peptidylarginine deiminase Pad4, catalytic C-terminal domain
d.126.1.6;Porphyromonas-type peptidylarginine deiminase
d.126.1.7;Succinylarginine dihydrolase-like
d.127.1.1;Creatinase/aminopeptidase
d.373.1.1;gpW/gp25-like
d.128.1.1;Glutamine synthetase catalytic domain
d.128.1.2;Guanido kinase catalytic domain
d.128.1.3;Glutamate-cysteine ligase family 2 (GCS2)
d.128.1.4;Glutamate-cysteine ligase
d.128.1.5;GatB/GatE catalytic domain-like
d.129.1.1;TATA-box binding protein (TBP), C-terminal domain
d.129.1.2;DNA repair glycosylase, N-terminal domain
d.129.5.1;MoaD-related protein, C-terminal domain
d.129.6.1;Kinase associated domain 1, KA1
d.129.6.2;Ssp2 C-terminal domain-like
d.129.7.1;TT1751-like
d.129.4.1;Cell-division protein ZipA, C-terminal domain
d.129.2.1;Phosphoglucomutase, C-terminal domain
d.129.3.1;Pathogenesis-related protein 10 (PR10)-like
d.129.3.2;STAR domain
d.129.3.4;Phoshatidylinositol transfer protein, PITP
d.129.3.3;Ring hydroxylating alpha subunit catalytic domain
d.129.3.5;AHSA1 domain
d.129.3.6;oligoketide cyclase/dehydrase-like
d.129.3.7;PA1206-like
d.129.3.8;Atu1531-like
d.129.3.9;Smu440-like
d.129.3.10;CoxG-like
d.129.8.1;Rbstp2229 protein
d.129.9.1;RalF, C-terminal domain
d.129.10.1;YwmB-like
d.129.11.1;YugN-like
d.326.1.1;XisI-like
d.130.1.1;S-adenosylmethionine synthetase
d.131.1.1;DNA polymerase III, beta subunit
d.131.1.2;DNA polymerase processivity factor
d.257.1.1;Hypothetical protein TM0160
d.374.1.1;TTHC002-like
d.133.1.1;Molybdenum cofactor-binding domain
d.375.1.1;NE1680-like
d.134.1.1;Nitrite and sulphite reductase 4Fe-4S domain-like
d.327.1.1;DeoB insert domain-like
d.135.1.1;The spindle assembly checkpoint protein mad2
d.136.1.1;Nuclease
d.136.1.2;Phospholipase D
d.136.1.3;Tyrosyl-DNA phosphodiesterase TDP1
d.136.1.4;Polyphosphate kinase C-terminal domain
d.136.1.5;TrmB middle domain-like
d.328.1.1;CorA soluble domain-like
d.137.1.1;Monooxygenase (hydroxylase) regulatory protein
d.139.1.1;PurM C-terminal domain-like
d.329.1.1;PF0523-like
d.258.1.1;Chorismate synthase, AroC
d.193.1.1;Hsp33 domain
d.208.1.1;MTH1598-like
d.197.1.1;Protein-L-isoaspartyl O-methyltransferase, C-terminal domain
d.227.1.1;Ohr/OsmC resistance proteins
d.227.1.2;YhfA-like
d.259.1.1;Hypothetical protein HI1480
d.330.1.1;ERH-like
d.140.1.1;Ribosomal protein S8
d.141.1.1;Ribosomal protein L6
d.331.1.1;NE0471 N-terminal domain-like
d.376.1.1;Lp2179-like
d.332.1.1;RGC domain
d.215.1.1;Smc hinge domain
d.292.1.1;DNA mismatch repair protein MutL
d.142.1.1;ATP-binding domain of peptide synthetases
d.142.1.7;Lysine biosynthesis enzyme LysX ATP-binding domain
d.142.1.2;BC ATP-binding domain-like
d.142.1.3;Synapsin C-terminal domain
d.142.1.4;Succinyl-CoA synthetase, beta-chain, N-terminal domain
d.142.1.5;Pyruvate phosphate dikinase, N-terminal domain
d.142.1.6;Eukaryotic glutathione synthetase ATP-binding domain
d.142.1.8;Glutathionylspermidine synthase ATP-binding domain-like
d.142.1.9;PurP ATP-binding domain-like
d.142.2.1;ATP-dependent DNA ligase catalytic domain
d.142.2.2;Adenylation domain of NAD+-dependent DNA ligase
d.142.2.3;mRNA capping enzyme
d.142.2.4;RNA ligase
d.143.1.1;SAICAR synthase
d.143.1.2;Phosphatidylinositol phosphate kinase IIbeta, PIPK IIbeta
d.143.1.3;Inositol polyphosphate kinase (IPK)
d.144.1.7;Protein kinases, catalytic subunit
d.144.1.3;Actin-fragmin kinase, catalytic domain
d.144.1.5;MHCK/EF2 kinase
d.144.1.4;Phoshoinositide 3-kinase (PI3K), catalytic domain
d.144.1.8;Choline kinase
d.144.1.6;APH phosphotransferases
d.144.1.9;RIO1-like kinases
d.145.1.1;FAD-linked oxidases, N-terminal domain
d.145.1.2;Uridine diphospho-N-Acetylenolpyruvylglucosamine reductase (MurB), N-terminal domain
d.145.1.3;CO dehydrogenase flavoprotein N-terminal domain-like
d.145.1.4;CorC/HlyC domain-like
d.146.1.1;Uridine diphospho-N-Acetylenolpyruvylglucosamine reductase, MurB, C-terminal domain
d.147.1.1;Methenyltetrahydromethanopterin cyclohydrolase
d.264.1.1;PriA-like
d.264.1.2;Bifunctional DNA primase/polymerase N-terminal domain
d.264.1.3;HP0184-like
d.148.1.1;Hect, E3 ligase catalytic domain
d.149.1.1;Nitrile hydratase alpha chain
d.150.1.2;Holo-(acyl carrier protein) synthase ACPS
d.150.1.1;4'-Phosphopantetheinyl transferase SFP
d.151.1.1;DNase I-like
d.151.1.2;Inositol polyphosphate 5-phosphatase (IPP5)
d.151.1.3;Sphingomyelin phosphodiesterase-like
d.152.1.1;Aldehyde ferredoxin oxidoreductase, N-terminal domain
d.153.1.1;Class II glutamine amidotransferases
d.153.1.2;Penicillin acylase, catalytic domain
d.153.1.3;Penicillin V acylase
d.153.1.4;Proteasome subunits
d.153.1.5;(Glycosyl)asparaginase
d.153.1.6;Gamma-glutamyltranspeptidase-like
d.153.1.7;SPO2555-like
d.153.2.1;Archaeal IMP cyclohydrolase PurO
d.154.1.1;DmpA-like
d.154.1.2;ArgJ-like
d.155.1.2;Arginine decarboxylase
d.155.1.1;Histidine decarboxylase
d.156.1.1;S-adenosylmethionine decarboxylase
d.156.1.2;Bacterial S-adenosylmethionine decarboxylase
d.157.1.1;Zn metallo-beta-lactamase
d.157.1.4;Hypothetical protein TM0207
d.157.1.2;Glyoxalase II (hydroxyacylglutathione hydrolase)
d.157.1.3;ROO N-terminal domain-like
d.157.1.5;Methyl parathion hydrolase
d.157.1.6;Coenzyme PQQ synthesis protein B, PqqB
d.157.1.7;RNase Z-like
d.157.1.8;Pce catalytic domain-like
d.157.1.9;YhfI-like
d.157.1.10;beta-CASP RNA-metabolising hydrolases
d.157.1.11;TM0894-like
d.157.1.12;Ava3068-like
d.157.1.13;Alkylsulfatase-like
d.157.1.14;PqsE-like
d.219.1.1;PP2C-like
d.159.1.1;Purple acid phosphatase-like
d.159.1.4;DNA double-strand break repair nuclease
d.159.1.2;5'-nucleotidase (syn. UDP-sugar hydrolase), N-terminal domain
d.159.1.3;Protein serine/threonine phosphatase
d.159.1.5;Phosphoesterase-related
d.159.1.6;TT1561-like
d.159.1.7;YfcE-like
d.159.1.8;Hypothetical protein aq 1666
d.159.1.9;DR1281-like
d.159.1.10;TTHA0625-like
d.159.1.11;GpdQ-like
d.159.1.12;ADPRibase-Mn-like
d.160.1.1;Nitrilase
d.160.1.2;Carbamilase
d.194.1.1;Type 1 cytotoxic necrotizing factor, catalytic domain
d.194.1.2;YfiH-like
d.194.1.3;CheD-like
d.161.1.1;ADC synthase
d.280.1.1;Sulfolobus fructose-1,6-bisphosphatase-like
d.162.1.1;Lactate & malate dehydrogenases, C-terminal domain
d.162.1.2;AglA-like glucosidase
d.163.1.1;Lambda integrase-like, catalytic core
d.163.1.2;Eukaryotic DNA topoisomerase I, catalytic core
d.228.1.1;Replication modulator SeqA, C-terminal DNA-binding domain
d.164.1.1;SMAD MH1 domain
d.195.1.1;YopH tyrosine phosphatase N-terminal domain
d.216.1.1;Rotavirus NSP2 fragment, N-terminal domain
d.377.1.1;Rv2827c C-terminal domain-like
d.378.1.1;Phosphoprotein oligomerization domain-like
d.379.1.1;Taf5 N-terminal domain-like
d.380.1.1;Jann2411-like
d.381.1.1;ATP12-like
d.165.1.1;Plant cytotoxins
d.165.1.2;Shiga toxin, A-chain
d.166.1.1;ADP-ribosylating toxins
d.166.1.3;Ecto-ART
d.166.1.2;Poly(ADP-ribose) polymerase, C-terminal domain
d.166.1.4;AvrPphF ORF2, a type III effector
d.166.1.5;Tpt1/KptA
d.166.1.6;BC2332-like
d.166.1.7;CC0527-like
d.167.1.1;Peptide deformylase
d.209.1.1;LCCL domain
d.168.1.1;Succinate dehydrogenase/fumarate reductase flavoprotein, catalytic domain
d.169.1.1;C-type lectin domain
d.169.1.2;Aerolysin/Pertussis toxin (APT) domain
d.169.1.3;Invasin/intimin cell-adhesion fragment, C-terminal domain
d.169.1.4;Link domain
d.169.1.5;Endostatin
d.169.1.6;Noncollagenous (NC1) domain of collagen IV
d.169.1.7;Sulfatase-modifying factor-like
d.169.1.8;Mtd variable domain
d.281.1.1;Hemolytic lectin CEL-III, C-terminal domain
d.170.1.1;Scavenger receptor cysteine-rich (SRCR) domain
d.170.1.2;Hepsin, N-terminal domain
d.170.2.1;A heparin-binding domain
d.171.1.1;Fibrinogen C-terminal domain-like
d.172.1.1;gp120 core
d.173.1.1;Methionine synthase SAM-binding domain
d.173.1.2;Hypothetical protein TM0269
d.333.1.1;UbiD C-terminal domain-like
d.238.1.1;Hypothetical protein TM0875
d.220.1.1;Metal cation-transporting ATPase, ATP-binding domain N
d.260.1.1;Suppressor of Fused, N-terminal domain
d.174.1.1;Nitric oxide (NO) synthase oxygenase domain
d.175.1.1;Penicillin binding protein dimerisation domain
d.176.1.1;Oxidoreductase molybdopterin-binding domain
d.177.1.1;FAH
d.178.1.1;Aromatic aminoacid monoxygenases, catalytic and oligomerization domains
d.179.1.1;Substrate-binding domain of HMG-CoA reductase
d.210.1.1;Argininosuccinate synthetase, C-terminal domain
d.261.1.1;Hypothetical protein PH1602
d.334.1.1;lvD/EDD N-terminal domain-like
d.287.1.1;TaqI C-terminal domain-like
d.287.1.2;Type I restriction modification DNA specificity domain
d.239.1.1;GCM domain
d.180.1.1;Conserved core of transcriptional regulatory protein vp16
d.181.1.1;Insert subdomain of RNA polymerase alpha subunit
d.182.1.1;Baseplate structural protein gp11
d.231.1.1;Receptor-binding domain of short tail fibre protein gp12
d.196.1.1;Outer capsid protein sigma 3
d.293.1.1;Phosphoprotein M1, C-terminal domain
d.335.1.1;L,D-transpeptidase pre-catalytic domain-like
d.336.1.1;YbiA-like
d.262.1.1;NinB
d.337.1.1;AF2331-like
d.282.1.1;SSo0622-like
d.283.1.1;Putative modulator of DNA gyrase, PmbA/TldD
d.382.1.1;PSTPO5379-like
d.383.1.1;PG1388-like
d.338.1.1;Oxysterol-binding protein
d.339.1.1;ORC1-binding domain
d.340.1.1;CofE-like
d.341.1.1;Peptidoglycan deacetylase N-terminal noncatalytic region
d.184.1.1;Phycoerythrin 545 alpha-subunits
d.184.1.2;Virulence effector SptP domain
d.184.1.3;Ubiquinol-cytochrome c reductase 8 kDa protein
e.1.1.1;Serpins
e.59.1.1;FdhE-like
e.64.1.1;FlhC-like
e.2.1.1;Replication terminator protein (Tus)
e.65.1.1;VPA0735-like
e.44.1.1;2-methylcitrate dehydratase PrpD
e.45.1.1;Antivirulence factor
e.66.1.1;Api92-like
e.67.1.1;PH0156-like
e.68.1.1;YacF-like
e.46.1.1;Virulence-associated V antigen
e.5.1.1;Heme-dependent catalases
e.5.1.2;Allene oxide synthase
e.6.1.1;Medium chain acyl-CoA dehydrogenase, NM (N-terminal and middle) domains
e.6.1.2;acyl-CoA oxidase N-terminal domains
e.7.1.1;Inositol monophosphatase/fructose-1,6-bisphosphatase-like
e.7.1.2;GlpX-like bacterial fructose-1,6-bisphosphatase
e.8.1.1;DNA polymerase I
e.8.1.7;Lesion bypass DNA polymerase (Y-family), catalytic domain
e.8.1.2;Reverse transcriptase
e.8.1.3;T7 RNA polymerase
e.8.1.4;RNA-dependent RNA-polymerase
e.8.1.6;dsRNA phage RNA-dependent RNA-polymerase
e.29.1.1;RNA-polymerase beta
e.29.1.2;RNA-polymerase beta-prime
e.69.1.1;Poxvirus poly(A) polymerase catalytic subunit-like
e.41.1.1;Adenylylcyclase toxin (the edema factor)
e.10.1.1;Prokaryotic type I DNA topoisomerase
e.11.1.1;Type II DNA topoisomerase
e.12.1.1;DNA topoisomerase IV, alpha subunit
e.13.1.1;DNA primase DnaG catalytic core
e.13.1.2;Primase fragment of primase-helicase protein
e.49.1.1;Recombination protein RecR
e.15.1.1;Eukaryotic DNA topoisomerase I, N-terminal DNA-binding fragment
e.17.1.1;D-aminoacid aminotransferase-like PLP-dependent enzymes
e.18.1.1;Nickel-iron hydrogenase, large subunit
e.18.1.2;Nqo4-like
e.19.1.1;Nickel-iron hydrogenase, small subunit
e.19.1.2;Nq06-like
e.22.1.1;Dehydroquinate synthase, DHQS
e.22.1.2;Iron-containing alcohol dehydrogenase
e.37.1.1;Siroheme synthase middle domains-like
e.23.1.1;Acetyl-CoA synthetase-like
e.24.1.1;Ribosomal protein L1
e.38.1.1;Release factor
e.56.1.1;YaeB-like
e.70.1.1;MalF N-terminal region-like
e.39.1.1;YebC-like
e.40.1.1;Cullin homology domain
e.25.1.1;Sec1/munc18-like (SM) proteins
e.26.1.2;Carbon monoxide dehydrogenase
e.26.1.1;Hybrid cluster protein (prismane protein)
e.26.1.3;Acetyl-CoA synthase
e.43.1.1;Capz alpha-1 subunit
e.43.1.2;Capz beta-1 subunit
e.3.1.1;beta-Lactamase/D-ala carboxypeptidase
e.3.1.2;Glutaminase
e.3.1.3;Dac-like
e.27.1.1;Upper collar protein gp10 (connector protein)
e.71.1.1;AF1531-like
e.32.1.1;Phase 1 flagellin
e.47.1.1;39 kda initiator binding protein, IBP39, C-terminal domains
e.50.1.1;AF1104-like
e.72.1.1;Cas DxTHG
e.51.1.1;Urocanase
e.52.1.1;NAD kinase-like
e.52.1.2;Diacylglycerol kinase-like
e.53.1.1;QueA-like
e.54.1.1;CbiD-like
e.55.1.1;Rap/Ran-GAP
e.57.1.1;Vacuolar ATP synthase subunit C
e.60.1.1;Thermophilic metalloprotease (M29)
e.61.1.1;ImpE-like
e.73.1.1;CV3147-like
e.62.1.1;HemS/ChuS-like
e.62.1.2;ChuX-like
e.74.1.1;HI0933 insert domain-like
e.34.1.1;NSP3 homodimer
e.63.1.1;DP dimerization segment
e.63.1.2;E2F dimerization segment
e.35.1.1;Membrane penetration protein mu1
e.75.1.1;Flu NP-like
e.76.1.1;Glycoprotein B-like
e.76.1.2;Spike glycoprotein-like
e.28.1.1;Orbivirus core
e.28.1.2;Phytoreovirus core
e.42.1.1;L-A virus major coat protein
e.48.1.1;Major capsid protein VP5
e.58.1.1;Viral ssDNA binding protein
f.1.1.1;Colicin
f.1.2.1;Diphtheria toxin, middle domain
f.1.3.1;delta-Endotoxin (insectocide), N-terminal domain
f.1.4.1;Bcl-2 inhibitors of programmed cell death
f.1.5.1;Exotoxin A, middle domain
f.13.1.1;Bacteriorhodopsin-like
f.13.1.2;Rhodopsin-like
f.23.10.1;Photosystem II reaction centre subunit H, transmembrane region
f.23.1.1;Mitochondrial cytochrome c oxidase subunit IV
f.23.2.1;Mitochondrial cytochrome c oxidase subunit VIa
f.23.3.1;Mitochondrial cytochrome c oxidase subunit VIc
f.23.4.1;Mitochondrial cytochrome c oxidase subunit VIIa
f.23.5.1;Mitochondrial cytochrome c oxidase subunit VIIb
f.23.6.1;Mitochondrial cytochrome c oxidase subunit VIIc (aka VIIIa)
f.23.7.1;Mitochondrial cytochrome c oxidase subunit VIIIb (aka IX)
f.23.8.1;Bacterial aa3 type cytochrome c oxidase subunit IV
f.23.9.1;Bacterial ba3 type cytochrome c oxidase subunit IIa
f.23.21.1;F1F0 ATP synthase subunit B, membrane domain
f.23.11.1;Cytochrome c1 subunit of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase), transmembrane anchor
f.23.12.1;ISP transmembrane anchor
f.23.13.1;Ubiquinone-binding protein QP-C of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase)
f.23.14.1;Subunit X (non-heme 7 kDa protein) of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase)
f.23.15.1;Subunit XI (6.4 kDa protein) of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase)
f.23.16.1;Subunit III of photosystem I reaction centre, PsaF
f.23.17.1;Subunit VIII of photosystem I reaction centre, PsaI
f.23.18.1;Subunit IX of photosystem I reaction centre, PsaJ
f.23.19.1;Subunit XII of photosystem I reaction centre, PsaM
f.23.20.1;Subunit PsaX of photosystem I reaction centre
f.23.22.1;Iron-sulfur subunit of formate dehydrogenase N, transmembrane anchor
f.23.23.1;Cytochrome f subunit of the cytochrome b6f complex, transmembrane anchor
f.23.24.1;PetL subunit of the cytochrome b6f complex
f.23.25.1;PetM subunit of the cytochrome b6f complex
f.23.26.1;PetG subunit of the cytochrome b6f complex
f.23.27.1;PetN subunit of the cytochrome b6f complex
f.23.28.1;Preprotein translocase SecE subunit
f.23.29.1;Sec-beta subunit
f.23.30.1;Oligosaccharyltransferase subunit ost4p
f.23.31.1;PsbL-like
f.23.32.1;PsbJ-like
f.23.33.1;PsbH-like
f.23.34.1;PsbT-like
f.23.35.1;PsbM-like
f.23.36.1;PsbK-like
f.23.37.1;PsbI-like
f.23.38.1;Cytochrome b559 subunits
f.26.1.1;Bacterial photosystem II reaction centre, L and M subunits
f.24.1.1;Cytochrome c oxidase subunit I-like
f.25.1.1;Cytochrome c oxidase subunit III-like
f.17.2.1;Cytochrome c oxidase subunit II-like, transmembrane region
f.17.1.1;F1F0 ATP synthase subunit C
f.17.3.1;Magnesium transport protein CorA, transmembrane region
f.17.4.1;Htr2 transmembrane domain-like
f.17.5.1;PsbZ-like
f.18.1.1;F1F0 ATP synthase subunit A
f.52.1.1;ATP synthase B chain-like
f.53.1.1;ATP synthase D chain-like
f.19.1.1;Aquaporin-like
f.44.1.1;Ammonium transporter
f.38.1.1;Glycerol-3-phosphate transporter
f.38.1.2;LacY-like proton/sugar symporter
f.54.1.1;SNF-like
f.49.1.1;Proton glutamate symport protein
f.20.1.1;Clc chloride channel
f.14.1.1;Voltage-gated potassium channels
f.15.1.1;Small-conductance potassium channel
f.16.1.1;Gated mechanosensitive channel
f.36.1.1;Neurotransmitter-gated ion-channel transmembrane pore
f.34.1.1;Mechanosensitive channel protein MscS (YggB), transmembrane region
f.39.1.1;Multidrug resistance efflux transporter EmrE
f.40.1.1;V-type ATP synthase subunit C
f.41.1.1;Preprotein translocase SecY subunit
f.29.1.1;Photosystem I subunits PsaA/PsaB
f.30.1.1;Photosystem I reaction center subunit X, PsaK
f.31.1.1;Photosystem I reaction center subunit XI, PsaL
f.22.1.1;ABC transporter involved in vitamin B12 uptake, BtuC
f.37.1.1;ABC transporter transmembrane region
f.35.1.1;Multidrug efflux transporter AcrB transmembrane domain
f.32.1.1;a domain/subunit of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase)
f.21.1.2;Cytochrome b of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase)
f.21.1.1;Formate dehydrogenase N, cytochrome (gamma) subunit
f.21.3.1;Respiratory nitrate reductase 1 gamma chain
f.21.2.1;Fumarate reductase respiratory complex cytochrome b subunit, FrdC
f.21.2.2;Succinate dehydrogenase/Fumarate reductase transmembrane subunits (SdhC/FrdC and SdhD/FrdD)
f.27.1.1;14 kDa protein of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase)
f.28.1.1;Non-heme 11 kDa protein of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase)
f.45.1.1;Mitochondrial ATP synthase coupling factor 6
f.33.1.1;Calcium ATPase, transmembrane domain M
f.3.1.1;Light-harvesting complex subunits
f.55.1.1;Photosystem II antenna protein-like
f.42.1.1;Mitochondrial carrier
f.43.1.1;Chlorophyll a-b binding protein
f.56.1.1;MAPEG domain
f.57.1.1;MgtE membrane domain-like
f.58.1.1;MetI-like
f.51.1.1;Rhomboid-like
f.59.1.1;Cation efflux protein transmembrane domain-like
f.50.1.1;Connexin43
f.4.1.1;Outer membrane protein
f.4.1.2;Outer membrane enzyme PagP
f.4.1.3;GNA1870 immunodominant domain-like
f.4.1.4;PsbO-like
f.4.4.1;Outer membrane protease OMPT
f.4.4.2;Outer membrane adhesin/invasin OpcA
f.4.5.1;Autotransporter
f.4.2.1;Outer membrane phospholipase A (OMPLA)
f.4.3.1;Porin
f.4.3.2;Maltoporin-like
f.4.3.3;Ligand-gated protein channel
f.4.3.4;Outer membrane protein transport protein
f.4.6.1;Tsx-like channel
f.5.1.1;Outer membrane efflux proteins (OEP)
f.46.1.1;HlyD-like secretion proteins
f.6.1.1;Leukocidin (pore-forming toxin)
f.6.1.2;Porin MspA
f.7.1.1;Lipovitellin-phosvitin complex; beta-sheet shell regions
f.8.1.1;(Pro)aerolysin, pore-forming lobe
f.8.1.2;ETX/MTX2
f.9.1.1;Perfringolysin
f.10.1.1;Viral glycoprotein, central and dimerisation domains
f.47.1.1;VP4 membrane interaction domain
f.12.1.1;Head and neck region of the ectodomain of NDV fusion glycoprotein
f.48.1.1;OmpH-like
f.11.1.1;Anthrax protective antigen
g.1.1.1;Insulin-like
g.3.1.1;Hevein-like agglutinin (lectin) domain
g.3.1.2;Antimicrobial peptide 2, AC-AMP2
g.3.2.1;Plant inhibitors of proteinases and amylases
g.3.3.1;Kalata B1
g.3.3.2;Cycloviolacin
g.3.3.3;Circulin A
g.3.3.4;Palicourein
g.3.4.1;Gurmarin, a sweet taste-suppressing polypeptide
g.3.4.2;Antifungal peptide
g.3.5.1;Agouti-related protein
g.3.6.1;Conotoxin
g.3.6.2;Spider toxins
g.3.6.3;Insect toxins
g.3.6.4;Albumin 1
g.3.6.5;Vhv1.1, polydnaviral gene product
g.3.7.1;Long-chain scorpion toxins
g.3.7.2;Short-chain scorpion toxins
g.3.7.3;Defensin MGD-1
g.3.7.4;Insect defensins
g.3.7.5;Plant defensins
g.3.8.1;Cellulose-binding domain
g.3.9.1;Growth factor receptor domain
g.3.10.1;Colipase-like
g.3.11.1;EGF-type module
g.3.11.6;Integrin beta EGF-like domains
g.3.11.5;EGF-like domain of nidogen-1
g.3.11.2;Laminin-type module
g.3.11.3;Follistatin (FS) module N-terminal domain, FS-N
g.3.11.4;Merozoite surface protein 1 (MSP-1)
g.3.11.7;Cripto EGF-like domain-like
g.3.12.1;Bromelain inhibitor VI (cysteine protease inhibitor)
g.3.13.1;Bowman-Birk inhibitor, BBI
g.3.14.1;Elafin-like
g.3.15.1;Huristasin-like
g.3.15.2;Hirudin-like
g.3.16.1;Granulin repeat
g.3.17.1;Satiety factor CART (cocaine and amphetamine regulated transcript)
g.3.18.1;DPY module
g.3.19.1;Bubble protein
g.4.1.1;PMP inhibitors
g.5.1.1;Midkine, a heparin-binding growth factor, N-terminal domain
g.5.1.2;Midkine, a heparin-binding growth factor, C-terminal domain
g.60.1.1;TSP-1 type 1 repeat
g.6.1.1;Amb V allergen
g.7.1.1;Snake venom toxins
g.7.1.2;Dendroaspin
g.7.1.3;Extracellular domain of cell surface receptors
g.8.1.1;Small Kunitz-type inhibitors & BPTI-like toxins
g.8.1.2;Soft tick anticoagulant proteins
g.8.1.3;Tick tryptase inhibitor-like
